Name,Region,Year,Color,Castes,AlcoholPercentage,Producer,MinimunPrice,MaximumPrice,Judge,JudgeRating,Date,JudgeNotes,Label,Link
.Beb 2007,Regional Alentejo,2007,Rosé,"Cabernet Sauvignon, Syrah e Touriga Nacional",13.5,Tiago Mateus Cabaço e Cabaço,4.0,7.5,Tiago Cabaço,15.5,Dezembro 2008,"Cor vermelha brilhante e aromas iniciais dominados por um apimentado que aliado às notas frutadas foram um conjunto bem interessante, na boca tem uma presença agradável, é fresco e delicado, sempre dominado por notas frutadas e com um final médio de comprimento mas persistente de sabor.","Tem uma cor atraente e um aroma intenso a frutos vermelhos, cerejas e framboesas. Este Rosé é elaborado a partir das castas Cabernet Sauvignon, Syrah e Touriga Nacional. Na boca é seco, equilibrado, com uma acidez refrescante.",https://osvinhos.blogspot.pt/2010/03/1232-beb-2007-rose.html
.Beb 2009,Regional Alentejo,2009,Red,"Cabernet Sauvignon, Syrah, Alicante Bouschet e Touriga Nacional",14.0,Tiago Mateus Cabaço e Cabaço,7.5,10.0,Susana Esteban,16.0,Novembro 2012,"Cor avermelhada e nariz muito aromático, onde as notas de fruta vermelha combinadas com delicadas sugestões minerais e especiadas, formam um conjunto complexo e acima de tudo fresco, na boca é um vinho suave, muito equilibrado, com taninos redondos e uma textura sedutora, o paladar revela uma bela dose de fruta madura integrada com as subtis notas de barrica e diversas especiarias, o final de boca tem um comprimento ligeiramente acima da média e uma persistência mediana.","A escolha criteriosa das melhores parcelas das castas Cabernet Sauvignon, Syrah, Alicante Bouschet e Touriga Nacional, aprimoradas em barricas de carvalho francês permite-nos apresentar este .beb de espírito vivo e ânimo forte. É um vinho sério e poderoso, denso e persuasivo… mas simultaneamente fresco e elegante, de final intenso e profundo.",https://osvinhos.blogspot.pt/2013/08/2803-beb-2009-tinto.html
.Beb 2010,Regional Alentejo,2010,Red,"Cabernet Sauvignon, Syrah, Alicante Bouschet e Touriga Nacional",14.0,Tiago Mateus Cabaço e Cabaço,7.5,10.0,Tiago Cabaço,16.0,Agosto 2013,"Apresenta uma cor rubi agradavelmente concentrada no centro e uma auréola de tonalidade violácea, no nariz destacam-se os aromas florais aliados à fruta vermelha e a delicadas notas apimentadas e também diversas especiarias e nuances de barrica, na boca é um vinho equilibrado, atractivo e com uns taninos redondos, revela um paladar muito frutado e especiado, com delicadas sugestões apimentadas e de barrica, responsáveis pela complexidade do conjunto, o final de boca tem um comprimento médio/longo.","A escolha criteriosa das melhores parcelas das castas Cabernet Sauvignon, Syrah, Alicante Bouschet e Touriga Nacional, aprimoradas em barricas de carvalho francês permite-nos apresentar este .beb de espírito vivo e ânimo forte. É um vinho sério e poderoso, denso e persuasivo… mas simultaneamente fresco e elegante, de final intenso e profundo.",https://osvinhos.blogspot.pt/2014/01/2988-beb-2010-tinto.html
.Beb 2011,Regional Alentejo,2011,White,"Arinto, Roupeiro e Viognier",13.5,Tiago Mateus Cabaço e Cabaço,7.5,10.0,Tiago Cabaço e Susana Esteban,15.5,Setembro 2012,"Cor amarela brilhante e nariz delicadamente marcado por notas de fruta tropical madura misturadas com um ligeiro mas fresco toque floral e uma mineralidade, que é capaz de conferir alguma complexidade ao conjunto, na boca é um vinho equilibrado, suave e de estrutura média, conta com um paladar frutado, bem como suavemente especiado, o final de boca é mediano, quer em termos de comprimento, quer na persistência.","Associámos uma vinha muito velha de Roupeiro com a frescura do Arinto e a exuberância do Viognier, educadas por um estágio parcial de seis meses em carvalho francês, o que nos permitiu apresentar este .beb branco de espírito vivo e ânimo forte. É um vinho frutado mas muito sério, aromático, enérgico e profundo… sem nunca perder a frescura e elegância que o qualificam.",https://osvinhos.blogspot.pt/2013/09/2820-beb-2011-branco.html
.Beb 2012,Regional Alentejo,2012,White,"Encruzado, Verdelho e Viognier",13.5,Tiago Mateus Cabaço e Cabaço,4.0,7.5,Tiago Cabaço e Susana Esteban,16.0,Julho 2014,"Apresenta uma cor amarela ligeiramente pálida e um nariz rico em aromas de fruta tropical e notas minerais, muito bem envolvidas com sugestivos apontamentos vegetais e florais, num fundo subtilmente marcado por alguma barrica, na boca é um vinho untuoso e equilibrado, com uma acidez bem presente e um paladar fresco, onde a fruta madura e suaves nuances de baunilha se misturam com elegantes notas minerais, o final de boca é relativamente prolongado.","Associámos a estrutura e complexidade do Encruzado, a frescura do Verdelho e a exuberância do Viognier com um estágio parcial de seis meses em carvalho francês, o que nos permitiu apresentar este .beb branco de espírito vivo e ânimo forte. É um vinho frutado mas muito sério, aromático, enérgico e profundo… sem nunca perder a frescura e elegância que o qualificam.",https://osvinhos.blogspot.pt/2015/06/3639-beb-2012-branco.html
.Beb 2013,Regional Alentejo,2013,Rosé,Touriga Nacional e Syrah,13.0,Tiago Mateus Cabaço e Cabaço,4.0,7.5,Tiago Cabaço,15.0,Agosto 2014,"Cor vermelha intensa e nariz rico em aromas de frutos vermelhos, especialmente morangos, aliados a breves sugestões florais, na boca é um vinho fresco, com uma acidez agradável e um paladar acima de tudo frutado, acompanhado por breves notas florais e vegetais, termina com um final de boca de comprimento mediano.",-,https://osvinhos.blogspot.pt/2015/08/3713-beb-2013-rose.html
.Beb Selection 2012,Regional Alentejo,2012,Red,"Touriga Nacional, Alicante Bouschet e Syrah",14.5,Tiago Mateus Cabaço e Cabaço,7.5,10.0,Tiago Cabaço,16.0,Outubro 2016,"Cor rubi de intensidade média/alta e nariz expressivo, onde os aromas de fruta vermelha madura combinam de uma forma bem agradável com delicadas notas especiadas e florais, além de um breve toque vegetal, na boca é um vinho relativamente encorpado, com taninos sedosos e um volume ligeiramente acima da média, no paladar sobressai a qualidade da fruta envolvida pela tosta e por um fino toque de diversas especiarias, o final de boca termina com um comprimento e uma persistência relativamente prolongados.","A escolha criteriosa das melhores parcelas das castas Touriga Nacional, Alicante Bouschet e Syrah, aprimoradas em barricas de carvalho francês permite-nos apresentar este .beb de espírito vivo e ânimo forte. É um vinho sério e poderoso, denso e persuasivo… mas simultaneamente fresco e elegante, de final intenso e profundo.",https://osvinhos.blogspot.pt/2017/06/4436-beb-selection-2012-tinto.html
.Beb Selection 2014,Regional Alentejo,2014,White,"Encruzado, Verdelho e Viognier",13.5,Tiago Mateus Cabaço e Cabaço,7.5,10.0,Tiago Cabaço,16.0,Outubro 2016,"Cor amarela brilhante e nariz elegante e muito fresco, onde os aromas minerais se misturam com a fruta tropical madura e com breves notas vegetais e tostadas, na boca é um vinho muito equilibrado e redondo, com uma acidez bem interessante e um paladar cremoso, onde a fruta casa na perfeição com a madeira e com breves nuances cítricas, o final de boca termina com um comprimento mediano e uma persistência média/alta.","Associámos a estrutura e complexidade do Encruzado, a frescura do Verdelho e a exuberância do Viognier com um estágio parcial de seis meses em carvalho francês, o que nos permitiu apresentar este .beb branco de espírito vivo e ânimo forte. É um vinho frutado mas muito sério, aromático, enérgico e profundo… sem nunca perder a frescura e elegância que o qualificam.",https://osvinhos.blogspot.pt/2017/06/4440-beb-selection-2014-branco.html
.Com 2007,Regional Alentejo,2007,Red,"Aragonez, Cabernet Sauvignon, Trincadeira e Alicante Bouschet",13.5,Tiago Mateus Cabaço e Cabaço,4.0,7.5,Tiago Cabaço,15.5,Julho 2009,"Cor rubi de centro bem escuro e de laivos violetas brilhantes, no nariz sobressaiem os frutos silvestres acompanhados de algum vegetal e um leve apimentado, na boca mostra um corpo com um bom volume, taninos polidos e estrutura agradável, a fruta e as especiarias formam um belo conjunto, que termina de uma forma média.",-,https://osvinhos.blogspot.pt/2010/08/1422-com-2007-tinto.html
.Com 2009,Regional Alentejo,2009,Red,"Aragonez, Cabernet Sauvignon, Trincadeira e Touriga Nacional",14.0,Tiago Mateus Cabaço e Cabaço,4.0,7.5,Susana Estéban,15.5,Agosto 2011,"Cor rubi concentrada e leve tonalidade violeta, o nariz revela-se perfumado e rico em aromas de notas florais, bem misturados por sugestões de frutos silvestres e uma leve sensação vegetal, na boca é um vinho muito redondo, equilibrado e de fácil prova, revela ainda uma estrutura mediana, um paladar muito frutado e um final médio mas saboroso.",-,https://osvinhos.blogspot.pt/2011/10/1945-com-2009-tinto.html
