alcohol,category,country,price,rating,region,varietal,vintage
14,Red,Portugal,450,100,Douro,Portuguese Red,2008
13.5,Red,Portugal,426,99,Douro,Portuguese Red,2004
14,Red,Portugal,106,98,Douro,Portuguese Red,2015
14,Red,Portugal,90,97,Douro,Portuguese Red,2012
14,Red,Portugal,250,97,Douro,Portuguese Red,2007
14,Red,Portugal,100,97,Douro,Portuguese Red,2013
14.5,Red,Portugal,75,97,Alentejo,Portuguese Red,2012
15.5,Red,Portugal,149,96,Douro,Portuguese Red,2013
14,Red,Portugal,60,96,Alentejo,Portuguese Red,2013
15.5,Red,Portugal,90,96,Douro,Portuguese Red,2011
14.5,Red,Portugal,80,96,Douro,Portuguese Red,2011
14,Red,Portugal,55,96,Alentejo,Portuguese Red,2011
14.5,Red,Portugal,100,96,Douro,Portuguese Red,2013
14.5,Red,Portugal,150,96,Douro,Portuguese Red,2015
14,Red,Portugal,80,96,Douro,Portuguese Red,2015
14,Red,Portugal,36,95,Alentejano,Portuguese Red,2007
14.5,Red,Portugal,40,95,Douro,Portuguese Red,2009
14,Red,Portugal,100,95,Douro,Portuguese Red,2014
14.5,Red,Portugal,101,95,Douro,Portuguese Red,2013
14.5,Red,Portugal,34,95,Douro,Portuguese Red,2013
13.5,Red,Portugal,70,95,Douro,Portuguese Red,2012
14.5,Red,Portugal,90,95,Douro,Portuguese Red,2013
13.5,Red,Portugal,90,95,Douro,Portuguese Red,2010
13.5,Red,Portugal,80,95,Douro,Portuguese Red,2015
13,Red,Portugal,72,95,Dão,Portuguese Red,2007
14.5,Red,Portugal,70,95,Douro,Portuguese Red,2008
14.5,Red,Portugal,100,95,Douro,Portuguese Red,2012
14.5,Red,Portugal,100,95,Douro,Portuguese Red,2012
15,Red,Portugal,150,95,Douro,Portuguese Red,2012
14,Red,Portugal,75,95,Douro,Portuguese Red,2012
14.5,Red,Portugal,65,95,Douro,Portuguese Red,2012
15,Red,Portugal,125,95,Douro,Portuguese Red,2007
14.5,Red,Portugal,151,95,Douro,Portuguese Red,2006
13.5,Red,Portugal,73,95,Douro,Portuguese Red,2009
14.5,Red,Portugal,75,95,Douro,Portuguese Red,2009
13.5,Red,Portugal,100,95,Douro,Portuguese Red,2009
13,Red,Portugal,65,95,Dão,Portuguese Red,2008
15,Red,Portugal,145,95,Douro,Portuguese Red,2009
14,Red,Portugal,50,95,Dão,Portuguese Red,2011
14.5,Red,Portugal,40,95,Alentejano,Portuguese Red,2011
14.5,Red,Portugal,46,95,Alentejano,Portuguese Red,2002
14.5,Red,Portugal,50,95,Alentejano,Portuguese Red,2014
14.5,Red,Portugal,80,95,Douro,Portuguese Red,2012
14.5,Red,Portugal,78,95,Douro,Portuguese Red,2014
13.5,Red,Portugal,87,95,Douro,Portuguese Red,2014
14.5,Red,Portugal,180,95,Alentejo,Portuguese Red,2011
14,Red,Portugal,65,95,Douro,Portuguese Red,2014
14,Red,Portugal,50,95,Dão,Portuguese Red,2012
14,Red,Portugal,100,95,Douro,Portuguese Red,2012
14,Red,Portugal,80,95,Douro,Portuguese Red,2012
14,Red,Portugal,40,95,Douro,Touriga Nacional,2012
14.5,Red,Portugal,60,95,Alentejano,Portuguese Red,2013
14,Red,Portugal,99,95,Alentejano,Portuguese Red,2012
14,Red,Portugal,46,95,Alentejo,Portuguese Red,2010
14,Red,Portugal,100,95,Douro,Portuguese Red,2015
12,Red,Portugal,52,95,Douro,Portuguese Red,2015
13,Red,Portugal,110,95,Douro,Portuguese Red,2013
14.5,Red,Portugal,45,95,Douro,Portuguese Red,2013
13.5,Red,Portugal,60,95,Douro,Portuguese Red,2014
13.5,Red,Portugal,45,95,Dão,Portuguese Red,2014
14,Red,Portugal,120,95,Douro,Portuguese Red,2015
14.5,Red,Portugal,55,94,Douro,Portuguese Red,2003
