alcohol,category,country,price,rating,region,varietal,vintage
13.5,White,Portugal,18.0,85,Douro,Arinto,2004.0
12.5,White,Portugal,13.0,89,Alentejo,Portuguese White,2005.0
14.0,White,Portugal,12.0,90,Douro,White Blend,2005.0
11.0,White,Portugal,14.0,86,Terras do Sado,Muscat,2004.0
13.0,White,Portugal,12.0,86,Estremadura,Arinto,2005.0
12.5,White,Portugal,10.0,86,Bucelas,Arinto,2005.0
14.0,White,Portugal,11.0,86,Alentejano,White Blend,2005.0
13.0,White,Portugal,16.0,82,Douro,Malvasia Fina,2005.0
13.0,White,Portugal,8.0,82,Alentejano,White Blend,2004.0
13.5,White,Portugal,14.0,89,Douro,Portuguese Red,2004.0
13.0,White,Portugal,9.0,86,Terras do Sado,Portuguese White,2004.0
13.5,White,Portugal,9.0,86,Douro,Portuguese White,2004.0
10.5,White,Portugal,10.0,84,Vinho Verde,White Blend,2004.0
12.0,White,Portugal,15.0,84,Vinho Verde,Alvarinho,2004.0
11.0,White,Portugal,10.0,85,Vinho Verde,Alvarinho,2004.0
10.5,White,Portugal,7.0,86,Vinho Verde,Trajadura,2001.0
11.0,White,Portugal,10.0,87,Terras do Sado,Muscat,2001.0
12.5,White,Portugal,7.0,83,Bucelas,Arinto,2001.0
10.5,White,Portugal,7.0,84,Vinho Verde,Loureiro,2001.0
12.0,White,Portugal,9.0,83,Douro,White Blend,2001.0
13.0,White,Portugal,8.0,85,Beiras,White Blend,2000.0
12.0,White,Portugal,11.0,85,Vinho Verde,Alvarinho,2000.0
13.0,White,Portugal,13.0,83,Bucelas,Arinto,1999.0
12.5,White,Portugal,13.0,83,Portugal,White Blend,1999.0
10.0,White,Portugal,9.0,84,Vinho Verde,White Blend,2000.0
10.0,White,Portugal,8.0,84,Vinho Verde,Loureiro,2000.0
13.0,White,Portugal,10.0,84,Beiras,Chardonnay,2000.0
11.0,White,Portugal,9.0,84,Terras do Sado,Muscat,1999.0
10.0,White,Portugal,9.0,85,Vinho Verde,White Blend,2000.0
12.5,White,Portugal,11.0,85,Alentejo,Portuguese White,2000.0
12.0,White,Portugal,13.0,91,Vinho Verde,Portuguese White,2012.0
13.5,White,Portugal,25.0,91,Bucelas,Arinto,2011.0
13.5,White,Portugal,21.0,90,Alentejano,Portuguese White,2012.0
12.0,White,Portugal,14.0,90,Vinho Verde,Portuguese White,2012.0
13.0,White,Portugal,13.0,90,Tejo,Portuguese White,2012.0
11.5,White,Portugal,15.0,90,Vinho Verde,Loureiro,2012.0
12.5,White,Portugal,19.0,91,Vinho Verde,Alvarinho,2012.0
13.0,White,Portugal,32.0,91,Dão,Encruzado,2012.0
12.5,White,Portugal,10.0,88,Tejo,Portuguese White,2012.0
12.5,White,Portugal,15.0,88,Vinho Verde,Arinto,2012.0
12.5,White,Portugal,15.0,89,Tejo,Arinto,2012.0
13.5,White,Portugal,15.0,89,Bucelas,Arinto,2012.0
13.0,White,Portugal,15.0,89,Vinho Verde,Avesso,2012.0
13.5,White,Portugal,13.0,89,Alentejano,Portuguese White,2012.0
13.0,White,Portugal,18.0,89,Dão,Encruzado,2012.0
12.5,White,Portugal,10.0,89,Vinho Verde,Portuguese White,2012.0
13.0,White,Portugal,15.0,90,Alentejo,Portuguese White,2012.0
12.0,White,Portugal,15.0,87,Vinho Verde,Azal,2012.0
13.5,White,Portugal,15.0,87,Tejo,Portuguese White,2012.0
12.5,White,Portugal,11.0,87,Lisboa,Alvarinho-Chardonnay,2012.0
12.5,White,Portugal,13.0,87,Lisboa,Arinto,2012.0
12.5,White,Portugal,10.0,87,Lisboa,Portuguese White,2012.0
13.0,White,Portugal,12.0,88,Dão,Portuguese White,2012.0
13.5,White,Portugal,15.0,88,Alentejano,Portuguese White,2012.0
12.5,White,Portugal,16.0,88,Beira Interior,Siria,2012.0
12.5,White,Portugal,15.0,87,Minho,Alvarinho,2012.0
12.0,White,Portugal,15.0,86,Douro,Portuguese White,2012.0
12.5,White,Portugal,11.0,85,Península de Setúbal,Portuguese White,2012.0
10.5,White,Portugal,11.0,85,Vinho Verde,Portuguese White,2012.0
13.0,White,Portugal,12.0,86,Douro,Portuguese White,2012.0
12.5,White,Portugal,12.0,86,Tejo,Portuguese White,2012.0
13.0,White,Portugal,11.0,86,Tejo,Portuguese White,2012.0
13.0,White,Portugal,10.0,86,Alentejano,Portuguese White,2012.0
12.5,White,Portugal,9.0,86,Tejo,Portuguese White,2012.0
13.0,White,Portugal,12.0,86,Tejo,Portuguese White,2012.0
12.0,White,Portugal,8.0,86,Lisboa,Arinto,2012.0
10.0,White,Portugal,7.0,86,Vinho Verde,Portuguese White,2012.0
13.0,White,Portugal,18.0,87,Alentejano,Portuguese White,2012.0
12.5,White,Portugal,9.0,87,Lisboa,Portuguese White,2012.0
12.0,White,Portugal,11.0,84,Península de Setúbal,Portuguese White,2012.0
10.0,White,Portugal,10.0,83,Vinho Verde,Portuguese White,2012.0
13.0,White,Portugal,19.0,84,Duriense,Alvarinho,2012.0
10.0,White,Portugal,8.0,84,Vinho Verde,Portuguese White,2012.0
12.5,White,Portugal,9.0,84,Lisboa,Portuguese White,2012.0
9.5,White,Portugal,9.0,85,Vinho Verde,Portuguese White,2012.0
13.0,White,Portugal,15.0,85,Tejo,Verdelho,2012.0
13.5,White,Portugal,15.0,85,Tejo,Arinto,2012.0
12.5,White,Portugal,9.0,85,Lisboa,Portuguese White,2012.0
12.5,White,Portugal,13.0,85,Tejo,Portuguese White,2012.0
12.5,White,Portugal,12.0,85,Tejo,Portuguese White,2012.0
12.5,White,Portugal,11.0,90,Lisboa,Alvarinho,2012.0
13.0,White,Portugal,16.0,90,Alentejano,Alvarinho,2012.0
13.5,White,Portugal,17.0,91,Vinho Verde,Portuguese White,2012.0
13.0,White,Portugal,19.0,91,Portuguese Table Wine,Chenin Blanc,2012.0
14.0,White,Portugal,18.0,91,Douro,Portuguese White,2011.0
13.0,White,Portugal,35.0,90,Beira Atlantico,Cerceal,2012.0
13.0,White,Portugal,16.0,90,Vinho Verde,Alvarinho,2012.0
13.0,White,Portugal,13.0,88,Tejo,Moscatel Graúdo,2012.0
12.5,White,Portugal,9.0,88,Tejo,Portuguese White,2012.0
13.0,White,Portugal,11.0,88,Tejo,Portuguese White,2012.0
12.5,White,Portugal,11.0,89,Lisboa,Chardonnay,2012.0
12.0,White,Portugal,45.0,89,Douro,Portuguese White,2011.0
14.0,White,Portugal,8.0,89,Alentejo,Antão Vaz,2011.0
12.5,White,Portugal,12.0,87,Vinho Verde,Portuguese White,2012.0
12.5,White,Portugal,13.0,87,Minho,Portuguese White,2012.0
13.0,White,Portugal,13.0,88,Tejo,Alvarinho,2012.0
12.5,White,Portugal,9.0,87,Lisboa,Alvarinho-Chardonnay,2012.0
12.5,White,Portugal,6.0,86,Lisboa,Portuguese White,2012.0
13.0,White,Portugal,13.0,87,Alentejo,Antão Vaz,2012.0
13.0,White,Portugal,12.0,87,Douro,Portuguese White,2012.0
13.0,White,Portugal,12.0,87,Tejo,Viognier,2012.0
13.0,White,Portugal,17.0,87,Lisboa,Portuguese White,2011.0
13.5,White,Portugal,11.0,86,Alentejano,Verdelho,2012.0
12.5,White,Portugal,13.0,86,Tejo,Portuguese White,2012.0
10.5,White,Portugal,11.0,85,Vinho Verde,Portuguese White,2012.0
9.0,White,Portugal,9.0,85,Vinho Verde,Portuguese White,2012.0
12.0,White,Portugal,7.0,85,Lisboa,Portuguese White,2012.0
11.5,White,Portugal,9.0,86,Vinho Verde,Loureiro,2012.0
11.5,White,Portugal,26.0,92,Minho,Loureiro,2011.0
14.0,White,Portugal,25.0,93,Alentejano,Portuguese White,2011.0
12.0,White,Portugal,9.0,89,Douro,Portuguese White,2012.0
11.5,White,Portugal,9.0,90,Vinho Verde,Portuguese White,2012.0
13.0,White,Portugal,23.0,90,Vinho Verde,Alvarinho,2012.0
11.0,White,Portugal,15.0,90,Vinho Verde,Loureiro,2011.0
14.0,White,Portugal,30.0,90,Península de Setúbal,White Blend,2011.0
13.0,White,Portugal,25.0,91,Bairrada,Portuguese White,2011.0
14.0,White,Portugal,30.0,91,Península de Setúbal,Antão Vaz,2011.0
13.5,White,Portugal,12.0,91,Península de Setúbal,Portuguese White,2011.0
14.0,White,Portugal,30.0,91,Península de Setúbal,Chardonnay,2011.0
13.0,White,Portugal,21.0,91,Lisboa,Chardonnay,2011.0
14.0,White,Portugal,35.0,92,Dão,Encruzado,2011.0
12.5,White,Portugal,13.0,88,Minho,Alvarinho,2012.0
12.0,White,Portugal,12.0,88,Vinho Verde,Portuguese White,2012.0
13.0,White,Portugal,14.0,88,Douro,Portuguese White,2012.0
13.0,White,Portugal,15.0,88,Lisboa,Portuguese White,2011.0
