alcohol,category,country,price,rating,region,varietal,vintage
14.5,Red,Portugal,58.0,91,Alentejano,Portuguese Red,2003.0
14.5,Red,Portugal,90.0,92,Alentejano,Portuguese Red,2004.0
14.0,Red,Portugal,30.0,87,Alentejano,Portuguese Red,2005.0
14.5,Red,Portugal,19.0,87,Douro,Portuguese Red,2004.0
14.5,Red,Portugal,43.0,88,Alentejano,Trincadeira,2003.0
14.0,Red,Portugal,25.0,88,Douro,Tinta Roriz,2003.0
14.0,Red,Portugal,25.0,89,Douro,Portuguese Red,2003.0
14.0,Red,Portugal,24.0,90,Dão,Touriga Nacional,2003.0
14.5,Red,Portugal,38.0,90,Douro,Portuguese Red,2004.0
14.5,Red,Portugal,16.0,85,Estremadura,Touriga Nacional,2004.0
13.5,Red,Portugal,10.0,85,Ribatejano,Red Blend,2004.0
13.0,Red,Portugal,15.0,87,Douro,Portuguese Red,2005.0
13.5,Red,Portugal,23.0,87,Douro,Portuguese Red,2004.0
13.0,Red,Portugal,10.0,83,Portugal,Portuguese Red,
14.0,Red,Portugal,25.0,90,Alentejano,Red Blend,2004.0
13.4,Red,Portugal,18.0,90,Douro,Portuguese Red,2003.0
14.0,Red,Portugal,66.0,92,Douro,Portuguese Red,2003.0
14.0,Red,Portugal,13.0,88,Alentejano,Red Blend,2004.0
13.5,Red,Portugal,24.0,89,Douro,Portuguese Red,2004.0
14.5,Red,Portugal,23.0,89,Alentejano,Syrah,2004.0
14.5,Red,Portugal,38.0,90,Alentejano,Portuguese Red,2004.0
14.0,Red,Portugal,14.0,90,Ribatejo,Portuguese Red,2003.0
13.5,Red,Portugal,15.0,88,Douro,Red Blend,2003.0
13.5,Red,Portugal,11.0,88,Estremadura,Red Blend,2004.0
13.5,Red,Portugal,8.0,86,Alentejano,Portuguese Red,2003.0
14.0,Red,Portugal,39.0,86,Alentejano,Red Blend,2003.0
12.5,Red,Portugal,8.0,87,Estremadura,Red Blend,2004.0
13.0,Red,Portugal,26.0,87,Douro,Portuguese Red,2002.0
14.0,Red,Portugal,16.0,86,Estremadura,Red Blend,2004.0
14.0,Red,Portugal,11.0,86,Alentejano,Portuguese Red,2003.0
13.5,Red,Portugal,12.0,86,Douro,Red Blend,2003.0
13.0,Red,Portugal,12.0,86,Douro,Red Blend,2003.0
13.5,Red,Portugal,16.0,84,Douro,Red Blend,2004.0
13.5,Red,Portugal,13.0,84,Alentejano,Portuguese Red,2003.0
13.5,Red,Portugal,9.0,84,Estremadura,Red Blend,2003.0
13.5,Red,Portugal,13.0,85,Douro,Red Blend,2003.0
13.5,Red,Portugal,16.0,85,Douro Superior,Portuguese Red,2004.0
12.5,Red,Portugal,8.0,82,Douro,Red Blend,2002.0
13.0,Red,Portugal,13.0,82,Alentejano,Red Blend,2004.0
14.0,Red,Portugal,23.0,82,Alentejano,Portuguese Red,2002.0
14.0,Red,Portugal,16.0,83,Douro,Red Blend,2004.0
14.5,Red,Portugal,23.0,84,Alentejano,Portuguese Red,2004.0
13.0,Red,Portugal,7.0,84,Douro,Portuguese Red,2003.0
12.5,Red,Portugal,16.0,82,Alentejano,Portuguese Red,2002.0
13.0,Red,Portugal,7.0,89,Dão,Portuguese Red,2003.0
13.5,Red,Portugal,14.0,88,Douro,Red Blend,2002.0
14.0,Red,Portugal,12.0,87,Douro,Portuguese Red,2003.0
13.0,Red,Portugal,15.0,87,Douro,Portuguese Red,2002.0
13.0,Red,Portugal,16.0,88,Douro,Portuguese Red,2002.0
14.0,Red,Portugal,12.0,88,Douro,Portuguese Red,2004.0
13.0,Red,Portugal,17.0,84,Ribatejano,Portuguese Red,2004.0
13.5,Red,Portugal,7.0,84,Palmela,Red Blend,2003.0
13.0,Red,Portugal,10.0,84,Palmela,Castelão,2002.0
13.0,Red,Portugal,16.0,85,Douro,Tinta Roriz,2003.0
13.5,Red,Portugal,12.0,85,Alentejano,Red Blend,2002.0
12.0,Red,Portugal,6.0,85,Estremadura,Portuguese Red,2003.0
12.5,Red,Portugal,9.0,82,Alenquer,Portuguese Red,2002.0
13.0,Red,Portugal,9.0,83,Douro,Portuguese Red,2002.0
13.0,Red,Portugal,16.0,90,Douro,Touriga Nacional,2003.0
14.0,Red,Portugal,20.0,91,Douro,Portuguese Red,2003.0
14.5,Red,Portugal,55.0,94,Douro,Portuguese Red,2003.0
14.5,Red,Portugal,50.0,88,Douro,Portuguese Red,2002.0
12.0,Red,Portugal,22.0,89,Douro,Portuguese Red,2001.0
13.0,Red,Portugal,9.0,85,Alentejano,Portuguese Red,2003.0
13.0,Red,Portugal,15.0,86,Douro,Portuguese Red,2003.0
13.5,Red,Portugal,24.0,86,Douro,Portuguese Red,2001.0
14.0,Red,Portugal,20.0,87,Douro,Portuguese Red,2002.0
14.0,Red,Portugal,40.0,87,Alentejano,Red Blend,2002.0
13.0,Red,Portugal,9.0,87,Douro,Portuguese Red,2001.0
13.5,Red,Portugal,13.0,87,Douro,Portuguese Red,2003.0
14.0,Red,Portugal,19.0,84,Alentejano,Portuguese Red,2001.0
13.0,Red,Portugal,15.0,84,Douro,Portuguese Red,2003.0
14.0,Red,Portugal,15.0,85,Alentejano,Red Blend,2002.0
13.0,Red,Portugal,15.0,85,Douro,Portuguese Red,2003.0
13.5,Red,Portugal,15.0,88,Palmela,Red Blend,2000.0
12.0,Red,Portugal,13.0,88,Estremadura,Touriga Nacional,1999.0
13.0,Red,Portugal,34.0,85,Douro,Touriga Nacional,1997.0
13.0,Red,Portugal,9.0,84,Douro,Tempranillo,2000.0
13.5,Red,Portugal,45.0,92,Douro,Portuguese Red,2000.0
12.5,Red,Portugal,19.0,87,Terras do Sado,Red Blend,1995.0
12.0,Red,Portugal,6.0,86,Estremadura,Red Blend,2000.0
13.0,Red,Portugal,30.0,85,Alentejo,Red Blend,1998.0
20.0,Red,Portugal,59.0,91,Portugal,Port,
12.5,Red,Portugal,25.0,86,Douro,Touriga Nacional,1999.0
13.0,Red,Portugal,9.0,85,Ribatejo,Portuguese Red,1999.0
13.0,Red,Portugal,26.0,86,Douro,Portuguese Red,1999.0
12.5,Red,Portugal,19.0,86,Douro,Portuguese Red,1997.0
12.0,Red,Portugal,9.0,86,Alentejo,Portuguese Red,1999.0
13.0,Red,Portugal,11.0,86,Alentejo,Portuguese Red,1999.0
12.5,Red,Portugal,26.0,87,Douro,Portuguese Red,1999.0
12.5,Red,Portugal,45.0,88,Alentejo,Portuguese Red,1999.0
12.5,Red,Portugal,16.0,85,Dão,Portuguese Red,1998.0
12.5,Red,Portugal,13.0,80,Bairrada,Touriga Nacional-Cabernet Sauvignon,1999.0
12.0,Red,Portugal,8.0,82,Douro,Portuguese Red,1999.0
12.5,Red,Portugal,8.0,83,Dão,Portuguese Red,1999.0
12.5,Red,Portugal,9.0,83,Ribatejo,Portuguese Red,1996.0
12.0,Red,Portugal,6.0,83,Alentejo,Portuguese Red,1999.0
13.0,Red,Portugal,15.0,84,Douro,Portuguese Red,1998.0
12.0,Red,Portugal,6.0,84,Douro,Portuguese Red,1999.0
12.0,Red,Portugal,9.0,84,Alentejo,Portuguese Red,1999.0
12.0,Red,Portugal,18.0,84,Douro,Portuguese Red,1997.0
13.5,Red,Portugal,5.0,85,Douro,Touriga Nacional,1999.0
12.5,Red,Portugal,7.0,87,Palmela,Red Blend,1999.0
12.5,Red,Portugal,46.0,87,Douro,Red Blend,1989.0
12.5,Red,Portugal,14.0,86,Douro,Red Blend,1998.0
12.5,Red,Portugal,10.0,87,Douro,Red Blend,1997.0
